"ID","Description","GeneRatio","BgRatio","pvalue","FDR","qvalue","geneID","Count","Source"
"GO:0006874","intracellular calcium ion homeostasis","25/727","328/18481",0.00129303914670033,0.0249758382040068,0.0208149568203537,"Atp2a2/Slc8a2/Tgfb2/Calm1/Wfs1/Ywhae/Thy1/Ddit3/Fkbp1a/Ghitm/Letm1/Scgn/Calm3/Ryr2/Bnip3/Atf4/Herpud1/Hexb/Atp2b2/Micu1/Npy/Sri/Vdr/Tpcn1/Calm2",25,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006936","muscle contraction","25/727","328/18481",0.00129303914670033,0.0249758382040068,0.0208149568203537,"Smpd3/Atp2a2/Sod1/Kit/Calm1/Kcnma1/Nr4a1/Fkbp1a/Nup155/Hsbp1/Calm3/Ryr2/Tpm3/Gsn/Chrng/Myh14/Eef2/Vegfb/Smad5/Dock5/Gaa/Sri/Rhoa/Aldoa/Calm2",25,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0030834","regulation of actin filament depolymerization","8/727","55/18481",0.00130792411140565,0.0249758382040068,0.0208149568203537,"Mtpn/Capza1/Arpc2/Sptan1/Vil1/Gsn/Cfl1/Sptbn4",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0072348","sulfur compound transport","8/727","55/18481",0.00130792411140565,0.0249758382040068,0.0208149568203537,"Slc16a6/Slc1a4/Nfe2l1/Slc7a11/Slc3a2/Slc7a5/Ctns/Slc25a10",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0089718","amino acid import across plasma membrane","8/727","55/18481",0.00130792411140565,0.0249758382040068,0.0208149568203537,"Slc7a1/Slc1a4/Slc38a1/Slc38a2/Slc7a11/Slc3a2/Slc7a5/Slc6a9",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0070849","response to epidermal growth factor","9/727","68/18481",0.00132577851418572,0.0252201531095482,0.021018569774917,"Myc/Zfp36l2/Eef1a1/Arpc2/Vil1/Cfl1/Mars1/Akt1/Errfi1",9,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0051651","maintenance of location in cell","20/727","240/18481",0.0013342933841592,0.025285620633648,0.0210731306539611,"Sun1/Tgfb2/Calm1/Skp1/Thy1/Ddit3/Fkbp1a/Ghitm/Letm1/Calm3/Ryr2/Hspa5/Gsn/Hexb/Akt1/Tmsb15b2/Gaa/Sri/Tpcn1/Calm2",20,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006270","DNA replication initiation","6/727","32/18481",0.00137010130702265,0.0257682449592487,0.0214753515690621,"Mcm6/Ccne2/Mcm3/Mcm5/Mcm2/Prim1",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903170","negative regulation of calcium ion transmembrane transport","6/727","32/18481",0.00137010130702265,0.0257682449592487,0.0214753515690621,"Tgfb2/Calm1/Ywhae/Cbarp/Akt1/Calm2",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0051593","response to folic acid","5/727","22/18481",0.00140045841719922,0.0261418904543854,0.0217867491199216,"Gsn/Hspa9/Vegfa/Eef2/Tyms",5,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0070875","positive regulation of glycogen metabolic process","5/727","22/18481",0.00140045841719922,0.0261418904543854,0.0217867491199216,"Igf2/Ins2/Irs2/Akt1/Epm2aip1",5,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0010506","regulation of autophagy","23/727","294/18481",0.00141370790660799,0.0262503649397547,0.021877152161078,"Foxo3/Eif4g1/Dnm1l/Ubqln2/Flcn/Ddit3/Trib3/Usp20/Fbxw7/Trim23/Rnf152/Bnip3/Slc7a5/Stat3/Kdm4a/Atf6/Usp36/Akt1/Nrbp2/Slc25a5/Sting1/Sesn2/Tpcn1",23,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006109","regulation of carbohydrate metabolic process","18/727","207/18481",0.0014168034046537,0.0262503649397547,0.021877152161078,"Smpd3/Tff3/Flcn/Myc/Gcg/Nfe2l1/Pgp/Stat3/Mlx/Igf2/Ins2/Irs2/Akt1/Sesn2/Epm2aip1/Gpd1/Ddit4/Mtch2",18,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0071241","cellular response to inorganic substance","26/727","349/18481",0.00144776072539031,0.0264351155109962,0.0220311239770193,"Smpd3/Sod1/Mapk9/Parp1/Enpp2/Ddit3/Nfe2l1/Txnrd1/Slc18a1/Fn1/Ccna2/Atp5f1a/Bnip3/Atf4/Hspa5/Gsn/Jund/Rbm12/Cdh1/Fus/Jun/Neurod2/Akt1/Dnmt1/Tuba1a/Junb",26,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0044839","cell cycle G2/M phase transition","15/727","158/18481",0.00145253267830768,0.0264351155109962,0.0220311239770193,"Cdk1/Ccng1/Cenpf/Calm1/Aurkb/Rcc2/Nop53/Ccna2/Calm3/Plk1/Atf5/Rrm1/Ccdc57/Calm2/Chek1",15,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0032008","positive regulation of TOR signaling","9/727","69/18481",0.0014725191109902,0.0264351155109962,0.0220311239770193,"Flcn/Fnip1/Gas6/Lars1/Akt1/Ctns/Sesn2/Rheb/Rbx1",9,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006110","regulation of glycolytic process","8/727","56/18481",0.00147427780097572,0.0264351155109962,0.0220311239770193,"Flcn/Myc/Stat3/Mlx/Ins2/Gpd1/Ddit4/Mtch2",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0010823","negative regulation of mitochondrion organization","8/727","56/18481",0.00147427780097572,0.0264351155109962,0.0220311239770193,"Opa1/Dnm1l/Flcn/Ghitm/Bnip3/Akt1/Slc25a5/Psmd10",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0035902","response to immobilization stress","8/727","56/18481",0.00147427780097572,0.0264351155109962,0.0220311239770193,"Foxo3/Actr2/Mdm2/Lrp11/Sod2/Cers2/Actb/Fosl2",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0042743","hydrogen peroxide metabolic process","8/727","56/18481",0.00147427780097572,0.0264351155109962,0.0220311239770193,"Sod1/Acox1/Txnrd1/Cycs/Prdx1/Sod2/Stat3/Ctns",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0010810","regulation of cell-substrate adhesion","20/727","242/18481",0.00147451085715428,0.0264351155109962,0.0220311239770193,"St6gal1/Arhgap6/Enpp2/Rcc2/Thy1/Sema3e/Prex1/Wnt4/Fn1/Arpc2/Ninj1/Vegfa/Cfl1/Fut1/S100a10/Gcnt2/Dock5/Ppm1f/Npy/Rhoa",20,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0016311","dephosphorylation","20/727","242/18481",0.00147451085715428,0.0264351155109962,0.0220311239770193,"Ppp2r5a/Psph/Ppp1r2/Calm1/Ywhae/Dusp16/Ptbp1/Tns2/Dusp4/Sema4d/Dusp5/Ppp1r16b/Calm3/Camta1/Ilkap/Dusp8/Ppm1f/Ppm1m/Inpp5b/Calm2",20,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0034620","cellular response to unfolded protein","10/727","83/18481",0.00151922829429097,0.0271173320217716,0.022599685764533,"Atf3/Wfs1/Ddit3/Nck2/Atf4/Hspa5/Herpud1/Stub1/Crebrf/Atf6",10,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0035196","miRNA processing","7/727","44/18481",0.00152453634481594,0.0271173320217716,0.022599685764533,"Srsf3/Hnrnpa2b1/Nup155/Stat3/Adar/Srrt/Zc3h7b",7,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","25/727","332/18481",0.00152888649641208,0.0271173320217716,0.022599685764533,"Smpd3/Tgfb2/Flcn/Sema3e/Ddit3/Nop53/Sema4d/Fn1/Ret/Ppp1r16b/Gas6/Pik3ip1/Vegfa/Gdf15/Rbm12/Stat3/Igf2/Ins2/Vegfb/Gcnt2/Nyap1/Akt1/Sesn2/Hax1/Prr5",25,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0008286","insulin receptor signaling pathway","14/727","143/18481",0.00154148338609463,0.0271475377960976,0.0226248593696463,"Opa1/Slc39a14/Tns2/Ins1/C2cd5/Hras/Ide/Igf2/Ins2/Irs2/Akt1/Lonp1/Grb14/Igfbp1",14,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0022900","electron transport chain","14/727","143/18481",0.00154148338609463,0.0271475377960976,0.0226248593696463,"Cdk1/Ndufa8/Ndufa12/Cycs/Cyb5b/Ndufs1/Cyc1/Sod2/Ndufb6/ND2/Uqcrc1/Gpd1/Mtch2/Cyb5a",14,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0071333","cellular response to glucose stimulus","19/727","226/18481",0.00157212328370853,0.0275896565000117,0.0229933227483835,"Foxo3/Abcg1/Opa1/Tra2b/Gcg/Smarca4/Slc39a14/Dynll1/Slc2a2/Ins1/Fn1/Myt1/Gas6/Pck2/Abcc8/Irs2/Pim3/Sri/Sox4",19,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0015807","L-amino acid transport","11/727","98/18481",0.00161596513906022,0.0280484321190221,0.0233756680623598,"Slc7a1/Slc1a4/Slc38a1/Slc38a2/Slc7a11/Slc3a2/Slc7a5/Slc6a9/Abcc8/Ctns/Slc6a17",11,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0033260","nuclear DNA replication","6/727","33/18481",0.00161962562559189,0.0280484321190221,0.0233756680623598,"Mcm3/Lig1/Mcm2/Ilkap/Pcna/Tk1",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903578","regulation of ATP metabolic process","6/727","33/18481",0.00161962562559189,0.0280484321190221,0.0233756680623598,"Dnm1l/Parp1/Flcn/Myc/Stat3/Vcp",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0001954","positive regulation of cell-matrix adhesion","9/727","70/18481",0.00163203156390779,0.0280484321190221,0.0233756680623598,"Enpp2/Thy1/Wnt4/Ninj1/Vegfa/Cfl1/Fut1/S100a10/Ppm1f",9,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0050885","neuromuscular process controlling balance","9/727","70/18481",0.00163203156390779,0.0280484321190221,0.0233756680623598,"Abl2/Kcnma1/Aars1/Camta1/Shank1/Hexb/Atp2b2/Clic5/Gaa",9,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0150116","regulation of cell-substrate junction organization","9/727","70/18481",0.00163203156390779,0.0280484321190221,0.0233756680623598,"Arhgap6/Enpp2/Rcc2/Thy1/Wnt4/Vegfa/Cfl1/S100a10/Ppm1f",9,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0015931","nucleobase-containing compound transport","17/727","193/18481",0.00165358326819123,0.0282821056341627,0.0235704124424276,"Srsf3/Ran/Slc29a4/Nup85/Nup210/Xpot/Hnrnpa2b1/Nup155/Nup93/Tomm20/Rbm8a/Slc35d2/Slc35e3/Alyref/Slc25a5/Slc25a6/Hnrnpa3",17,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0061383","trabecula morphogenesis","8/727","57/18481",0.00165697729638353,0.0282821056341627,0.0235704124424276,"Heg1/Tgfb2/Fkbp1a/Smarca4/Sema4d/Vegfa/Rhoa/Vdr",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0031346","positive regulation of cell projection organization","32/727","466/18481",0.00167995306908515,0.028576403059114,0.0238156810153045,"Cux1/Limk1/Opa1/Dnm1l/Ranbp1/Kit/Pfn1/Enpp2/Abl2/Actr2/Eef1a1/Ptbp1/Gpm6a/Dynll1/Tenm3/Sema4d/Fn1/Arpc2/Ret/Vil1/Enc1/Hras/Tiam2/Dynlt1/Hspa5/Dpysl3/Vegfa/Neurl1/Ins2/Cfl1/Acsl6/Vldlr",32,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0031929","TOR signaling","16/727","177/18481",0.00171375009069999,0.0287999529793249,0.0240019883535558,"Slc7a1/Flcn/Ywhaz/Nlk/Fnip1/Rnf152/Gas6/Lars1/Akt1/Ctns/Sesn2/Rheb/Ddit4/Ube2n/Rbx1/Prr5",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006760","folic acid-containing compound metabolic process","5/727","23/18481",0.00173216208820264,0.0287999529793249,0.0240019883535558,"Shmt1/Shmt2/Mthfd2/Gch1/Tyms",5,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0071450","cellular response to oxygen radical","5/727","23/18481",0.00173216208820264,0.0287999529793249,0.0240019883535558,"Sod1/Parp1/Gch1/Prdx1/Sod2",5,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0071451","cellular response to superoxide","5/727","23/18481",0.00173216208820264,0.0287999529793249,0.0240019883535558,"Sod1/Parp1/Gch1/Prdx1/Sod2",5,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0009130","pyrimidine nucleoside monophosphate biosynthetic process","4/727","14/18481",0.00173354452122742,0.0287999529793249,0.0240019883535558,"Dck/Shmt1/Dut/Tyms",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0010635","regulation of mitochondrial fusion","4/727","14/18481",0.00173354452122742,0.0287999529793249,0.0240019883535558,"Opa1/Dnm1l/Bnip3/Mtch2",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0015911","long-chain fatty acid import across plasma membrane","4/727","14/18481",0.00173354452122742,0.0287999529793249,0.0240019883535558,"Slc2a1/Irs2/Acsl6/Akt1",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0071331","cellular response to hexose stimulus","19/727","228/18481",0.0017403225110726,0.0288165029740393,0.0240157811809494,"Foxo3/Abcg1/Opa1/Tra2b/Gcg/Smarca4/Slc39a14/Dynll1/Slc2a2/Ins1/Fn1/Myt1/Gas6/Pck2/Abcc8/Irs2/Pim3/Sri/Sox4",19,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1901875","positive regulation of post-translational protein modification","14/727","145/18481",0.00175920227455666,0.0290326627032795,0.0241959295064503,"Ube2l3/Mapk9/Sumo2/Wfs1/Gcg/Fbxw7/Nop53/Hspa5/Stub1/Ube2v1/Vcp/Psmd10/Ube2n/Rbx1",14,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0016052","carbohydrate catabolic process","16/727","178/18481",0.00181625247302253,0.0297769813340272,0.0248162474326416,"Flcn/Myc/Eno2/Tpi1/Pfkp/Stat3/Mlx/Ins2/Pklr/Hexb/Gaa/Aldoa/G6pc1/Gpd1/Ddit4/Mtch2",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0090316","positive regulation of intracellular protein transport","16/727","178/18481",0.00181625247302253,0.0297769813340272,0.0248162474326416,"Cdk1/Ran/Ube2l3/Chp1/Ywhae/Mdm2/Fbxw7/Arpc2/C2cd5/Hras/Gas6/Oaz1/Cdh1/Mief2/Usp36/Edem1",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1901890","positive regulation of cell junction assembly","13/727","130/18481",0.00184990500155141,0.0302292673040401,0.0251931842489107,"Enpp2/Gcg/Thy1/Wnt4/Sema4d/Adgrb2/Vegfa/Sema4a/Cfl1/S100a10/Ppm1f/Amigo3/St8sia2",13,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1905898","positive regulation of response to endoplasmic reticulum stress","6/727","34/18481",0.00190221429305127,0.030982470707737,0.025820906778054,"Ubqln2/Wfs1/Serinc3/Nck2/Herpud1/Atf6",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903573","negative regulation of response to endoplasmic reticulum stress","7/727","46/18481",0.00198971677753532,0.0323021121147753,0.0269207008542923,"Opa1/Wfs1/Usp14/Nck2/Hspa5/Herpud1/Crebrf",7,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0010811","positive regulation of cell-substrate adhesion","14/727","147/18481",0.00200187939748625,0.0323940484320503,0.0269973209244045,"Enpp2/Thy1/Prex1/Wnt4/Fn1/Arpc2/Ninj1/Vegfa/Cfl1/Fut1/S100a10/Dock5/Ppm1f/Npy",14,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0071326","cellular response to monosaccharide stimulus","19/727","231/18481",0.00202104228489002,0.0325983001549898,0.0271675450729893,"Foxo3/Abcg1/Opa1/Tra2b/Gcg/Smarca4/Slc39a14/Dynll1/Slc2a2/Ins1/Fn1/Myt1/Gas6/Pck2/Abcc8/Irs2/Pim3/Sri/Sox4",19,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0022904","respiratory electron transport chain","12/727","116/18481",0.00205013468249389,0.0329608750243534,0.0274697163229912,"Cdk1/Ndufa8/Ndufa12/Cycs/Ndufs1/Cyc1/Sod2/Ndufb6/ND2/Uqcrc1/Gpd1/Mtch2",12,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043525","positive regulation of neuron apoptotic process","11/727","101/18481",0.00206203148079352,0.0329975495998276,0.0275002810511362,"Foxo3/Tgfb2/Kcnma1/Ddit3/Mybl2/Casp3/Fbxw7/Atf4/Jun/Rhoa/St8sia2",11,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043523","regulation of neuron apoptotic process","24/727","321/18481",0.00206565719806304,0.0329975495998276,0.0275002810511362,"Foxo3/Sod1/Tgfb2/Parp1/Wfs1/Kcnma1/Sema3e/Ddit3/Mybl2/Hdac1/Casp3/Fbxw7/Barhl1/Hras/Atf4/Aars1/Sod2/Vegfa/Vegfb/Jun/Nrbp2/Rhoa/Cebpb/St8sia2",24,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:2000378","negative regulation of reactive oxygen species metabolic process","8/727","59/18481",0.00207586406932365,0.0330546534233517,0.0275478715908899,"Eef1a1/Cycs/Bnip3/Stat3/Ins2/Akt1/Ctns/Rhoa",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0021543","pallium development","21/727","267/18481",0.00209334231340843,0.0331367451720931,0.0276162871608261,"Ran/Pebp1/Sun1/Tra2b/Lmx1a/Ywhae/Slc38a2/Slc2a1/Nefh/Hdac1/Casp3/Bnip3/Tubb2a/Nars1/Cfl1/Vldlr/Kdm6b/Npy/Rhoa/Tuba1a/Gria2",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0043409","negative regulation of MAPK cascade","15/727","164/18481",0.00210096538410542,0.0331367451720931,0.0276162871608261,"Hsph1/Pebp1/Flcn/Atf3/Irak3/Myc/Dusp16/Dusp4/Dusp5/Pbk/Cnksr3/Dynlt1/Akt1/Psmd10/Errfi1",15,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1905039","carboxylic acid transmembrane transport","15/727","164/18481",0.00210096538410542,0.0331367451720931,0.0276162871608261,"Slc7a1/Myc/Slc1a4/Slc38a1/Slc38a2/Slc2a1/Slc7a11/Slc3a2/Slc7a5/Slc6a9/Irs2/Acsl6/Slc35d2/Akt1/Slc25a10",15,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0010563","negative regulation of phosphorus metabolic process","21/727","268/18481",0.00218989693275775,0.0343221582165554,0.0286042148184776,"Pebp1/Eif4g1/Spag9/Parp1/Flcn/Irak3/Chp1/Ywhae/Thy1/Dynll1/Sema4d/Pbk/Ppp1r16b/Nck2/Cnksr3/Pik3ip1/Jun/Ppm1f/Errfi1/Ctdsp2/Insm1",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0045936","negative regulation of phosphate metabolic process","21/727","268/18481",0.00218989693275775,0.0343221582165554,0.0286042148184776,"Pebp1/Eif4g1/Spag9/Parp1/Flcn/Irak3/Chp1/Ywhae/Thy1/Dynll1/Sema4d/Pbk/Ppp1r16b/Nck2/Cnksr3/Pik3ip1/Jun/Ppm1f/Errfi1/Ctdsp2/Insm1",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0048799","animal organ maturation","6/727","35/18481",0.00222057587779468,0.0346056126307769,0.0288404467857239,"Ift80/Sema4d/Ret/Rhoa/Rflna/Bmp2",6,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1901654","response to ketone","31/727","455/18481",0.00222186918977701,0.0346056126307769,0.0288404467857239,"Foxo3/Psph/Pebp1/Opa1/Tgfb2/Parp1/Myc/Asns/Nkx2-2/Fn1/Arpc2/Ghr/Atp5f1a/Gas6/Pck2/Vegfa/Pcna/Akt1/Pim3/Maob/Tyms/Dnmt1/Tk1/Pdxk/Rhoa/Vdr/Ddit4/Errfi1/Calm2/Junb/Fosl2",31,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0051235","maintenance of location","26/727","360/18481",0.00223006298808277,0.0346250278274284,0.0288566274831107,"Abcg1/Sun1/Cds1/Tgfb2/Calm1/Soat1/Skp1/Thy1/Ddit3/Fkbp1a/Npc2/Ghitm/Letm1/Calm3/Ryr2/Hspa5/Gsn/Hexb/Fitm2/Akt1/Tmsb15b2/Gaa/Nbl1/Sri/Tpcn1/Calm2",26,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0021537","telencephalon development","27/727","379/18481",0.0022490360952151,0.03481080733883,0.0290114568216236,"Ran/Pebp1/Sun1/Slc8a2/Tra2b/Lmx1a/Ywhae/Slc38a2/Slc2a1/Nefh/Hdac1/Slc7a11/Casp3/Bnip3/Tubb2a/Nars1/Agtpbp1/Atf5/Cfl1/Fut1/Vldlr/Kdm6b/Npy/Rhoa/Tuba1a/Gria2/Bmp2",27,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0031396","regulation of protein ubiquitination","16/727","182/18481",0.0022790694875086,0.03481080733883,0.0290114568216236,"Ube2l3/Mapk9/Chp1/Wfs1/Dnaja1/Fbxw7/Hspa5/Herpud1/Stub1/Ube2v1/Akt1/Bex1/Psmd10/Ube2n/Rbx1/Sox4",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0006448","regulation of translational elongation","4/727","15/18481",0.00229091990512365,0.03481080733883,0.0290114568216236,"Eif5a2/Rpl12/Eif5a/Aars1",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0018126","protein hydroxylation","4/727","15/18481",0.00229091990512365,0.03481080733883,0.0290114568216236,"Plod3/Plod1/Crtap/P4ha1",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0031053","primary miRNA processing","4/727","15/18481",0.00229091990512365,0.03481080733883,0.0290114568216236,"Srsf3/Hnrnpa2b1/Stat3/Srrt",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response","4/727","15/18481",0.00229091990512365,0.03481080733883,0.0290114568216236,"Wfs1/Nck2/Hspa5/Crebrf",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1902969","mitotic DNA replication","4/727","15/18481",0.00229091990512365,0.03481080733883,0.0290114568216236,"Mcm3/Lig1/Mcm2/Tk1",4,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0030042","actin filament depolymerization","8/727","60/18481",0.00231436047102937,0.0349538563260921,0.0291306743817605,"Mtpn/Capza1/Arpc2/Sptan1/Vil1/Gsn/Cfl1/Sptbn4",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1903426","regulation of reactive oxygen species biosynthetic process","8/727","60/18481",0.00231436047102937,0.0349538563260921,0.0291306743817605,"Foxo3/Eef1a1/Cycs/Sod2/Stat3/Ins2/Ctns/Rhoa",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0050767","regulation of neurogenesis","33/727","496/18481",0.00238079619088738,0.0358360948387284,0.029865935252518,"Cux1/Limk1/Opa1/Dnm1l/Kit/Enpp2/Myc/Actr2/Thy1/Sema3e/Bhlhe40/Hdac1/Nkx2-2/Spint1/Sema4d/Fn1/Tiam2/Dynlt1/Slc7a5/Vegfa/Sema4a/Kdm4a/Atf5/Cdh1/Neurl1/Abcc8/Cers2/Tmem98/S100a10/Srrt/Hapln4/Rheb/Bmp2",33,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0001889","liver development","21/727","270/18481",0.00239434582289257,0.0358360948387284,0.029865935252518,"Pou2f1/Myc/Dut/Asns/Smarca4/Wnt4/Prkcsh/Hras/Slc7a5/Sod2/Acat2/Lsr/Pcna/Jun/Tyms/Ak4/Tk1/Krt18/Rpl10/Cited2/Cebpb",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0051259","protein complex oligomerization","21/727","270/18481",0.00239434582289257,0.0358360948387284,0.029865935252518,"Opa1/Dnm1l/Polq/Itln1/Chp1/Shmt1/Shmt2/Me1/Sgtb/Letm1/Ninj1/Sod2/Ins2/Fus/Sting1/Micu1/Rrm1/Tk1/Aldoa/Gria2/Rrm2",21,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0035967","cellular response to topologically incorrect protein","11/727","103/18481",0.00241146025366348,0.0359841853420922,0.0299893544309993,"Atf3/Wfs1/Ddit3/Nck2/Atf4/Hspa5/Herpud1/Stub1/Crebrf/Atf6/Vcp",11,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0051402","neuron apoptotic process","27/727","382/18481",0.00251076356577277,0.0373541660054073,0.0311311014313883,"Foxo3/Sod1/Tgfb2/Parp1/Wfs1/Kcnma1/Sema3e/Ddit3/Mybl2/Hdac1/Casp3/Fbxw7/Barhl1/Hras/Bnip3/Atf4/Hspa5/Aars1/Sod2/Vegfa/Vegfb/Jun/Nrbp2/Rhoa/Tuba1a/Cebpb/St8sia2",27,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","12/727","119/18481",0.00254280808472279,0.0376386836469041,0.031368219496216,"Hsph1/Opa1/Wfs1/Ybx3/Gcg/Mdm2/Dnaja1/Hdac1/Atf4/Herpud1/Sod2/Akt1",12,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:1902905","positive regulation of supramolecular fiber organization","16/727","184/18481",0.0025449912498007,0.0376386836469041,0.031368219496216,"Limk1/Pfn1/Sh3pxd2b/Togaram1/Mapre1/Wnt4/Arpc2/Vil1/Nck2/Pfn2/Gsn/Cfl1/S100a10/Ppm1f/Rhoa/Pdlim4",16,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:0050807","regulation of synapse organization","23/727","308/18481",0.00257125739991159,0.0376720234741245,0.0313960050327142,"Opa1/Eif4g1/Dnm1l/Actr2/Ywhaz/Slc7a11/Gpm6a/Sema4d/Adgrb2/Sema4a/Neurl1/Ins2/Cfl1/Neurod2/Akt1/Vcp/Rhoa/Rheb/Tuba1a/Tubb5/Lhfpl4/Amigo3/St8sia2",23,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
"GO:2000630","positive regulation of miRNA metabolic process","8/727","61/18481",0.00257381804066093,0.0376720234741245,0.0313960050327142,"Foxo3/Tgfb2/Myc/Smarca4/Hras/Stat3/Jun/Bmp2",8,"DEG_results_ALL_Cell_11mM_vs_Control.tsv"
